obstacle_count,simulation_number,start_position,result,termination_reason,trajectory_length
6,17,7,target reached,goal_reached,66
6,17,8,target reached,goal_reached,70
6,17,9,target reached,goal_reached,65
6,17,10,target reached,goal_reached,65
6,17,11,target reached,goal_reached,66
6,17,12,target reached,goal_reached,65
6,18,1,target reached,goal_reached,65
6,18,2,target reached,goal_reached,65
6,18,3,target reached,goal_reached,65
6,18,4,target reached,goal_reached,65
6,18,5,target reached,goal_reached,66
6,18,6,target reached,goal_reached,66
6,18,7,target reached,goal_reached,66
6,18,8,target reached,goal_reached,70
6,18,9,target reached,goal_reached,66
6,18,10,target reached,goal_reached,66
6,18,11,target reached,goal_reached,65
6,18,12,target reached,goal_reached,66
6,19,1,target reached,goal_reached,65
6,19,2,target reached,goal_reached,65
6,19,3,target reached,goal_reached,65
6,19,4,target reached,goal_reached,65
6,19,5,target reached,goal_reached,66
6,19,6,target reached,goal_reached,68
6,19,7,target reached,goal_reached,66
6,19,8,target reached,goal_reached,68
6,19,9,target reached,goal_reached,65
6,19,10,target not reached,collision,36
6,19,11,target reached,goal_reached,66
6,19,12,target reached,goal_reached,68
6,20,1,target not reached,collision,53
6,20,2,target reached,goal_reached,67
6,20,3,target reached,goal_reached,65
6,20,4,target reached,goal_reached,65
6,20,5,target reached,goal_reached,66
6,20,6,target reached,goal_reached,66
6,20,7,target not reached,collision,49
6,20,8,target reached,goal_reached,67
6,20,9,target reached,goal_reached,69
6,20,10,target reached,goal_reached,65
6,20,11,target reached,goal_reached,66
6,20,12,target not reached,collision,50
9,1,1,target reached,goal_reached,65
9,1,2,target reached,goal_reached,65
9,1,3,target reached,goal_reached,67
9,1,4,target reached,goal_reached,66
9,1,5,target not reached,collision,37
9,1,6,target reached,goal_reached,68
9,1,7,target reached,goal_reached,66
9,1,8,target reached,goal_reached,67
9,1,9,target reached,goal_reached,66
9,1,10,target reached,goal_reached,71
9,1,11,target reached,goal_reached,66
9,1,12,target not reached,collision,48
9,2,1,target reached,goal_reached,66
9,2,2,target reached,goal_reached,66
9,2,3,target not reached,collision,42
9,2,4,target reached,goal_reached,65
9,2,5,target reached,goal_reached,65
9,2,6,target reached,goal_reached,66
9,2,7,target reached,goal_reached,71
9,2,8,target reached,goal_reached,70
9,2,9,target reached,goal_reached,67
9,2,10,target reached,goal_reached,65
9,2,11,target reached,goal_reached,65
9,2,12,target reached,goal_reached,66
9,3,1,target reached,goal_reached,65
9,3,2,target not reached,collision,38
9,3,3,target reached,goal_reached,66
9,3,4,target not reached,collision,32
9,3,5,target reached,goal_reached,65
9,3,6,target reached,goal_reached,66
9,3,7,target reached,goal_reached,66
9,3,8,target reached,goal_reached,69
9,3,9,target reached,goal_reached,66
9,3,10,target reached,goal_reached,66
9,3,11,target reached,goal_reached,68
9,3,12,target reached,goal_reached,65
9,4,1,target reached,goal_reached,65
9,4,2,target reached,goal_reached,65
9,4,3,target reached,goal_reached,67
9,4,4,target reached,goal_reached,65
9,4,5,target reached,goal_reached,68
9,4,6,target reached,goal_reached,66
9,4,7,target not reached,collision,17
9,4,8,target reached,goal_reached,66
9,4,9,target reached,goal_reached,65
9,4,10,target reached,goal_reached,65
9,4,11,target reached,goal_reached,66
9,4,12,target reached,goal_reached,66
9,5,1,target reached,goal_reached,65
9,5,2,target reached,goal_reached,66
9,5,3,target reached,goal_reached,65
9,5,4,target reached,goal_reached,66
9,5,5,target not reached,collision,47
9,5,6,target not reached,collision,27
9,5,7,target reached,goal_reached,65
9,5,8,target reached,goal_reached,67
9,5,9,target reached,goal_reached,71
9,5,10,target reached,goal_reached,65
9,5,11,target reached,goal_reached,70
9,5,12,target reached,goal_reached,66
9,6,1,target reached,goal_reached,72
9,6,2,target reached,goal_reached,66
9,6,3,target reached,goal_reached,66
9,6,4,target reached,goal_reached,66
9,6,5,target reached,goal_reached,67
9,6,6,target reached,goal_reached,71
9,6,7,target reached,goal_reached,67
9,6,8,target reached,goal_reached,71
9,6,9,target reached,goal_reached,65
9,6,10,target reached,goal_reached,65
9,6,11,target reached,goal_reached,65
9,6,12,target reached,goal_reached,65
9,7,1,target reached,goal_reached,69
9,7,2,target reached,goal_reached,65
